epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,26479.7,2.08617,1.56887,2.72304,0.75328,0.71009,0.75997,0.59065,1.81867,3.11183,2.87764,0.002476,0.002476,0.002476
154,26652.2,2.07058,1.51678,2.66707,0.75078,0.71259,0.75987,0.59077,1.81852,3.11109,2.87694,0.0024265,0.0024265,0.0024265
155,26826.1,2.04772,1.50902,2.65311,0.74809,0.71394,0.76001,0.59104,1.81785,3.10977,2.87541,0.002377,0.002377,0.002377
156,26998.4,2.03411,1.505,2.68337,0.74881,0.71164,0.76047,0.59146,1.81766,3.11142,2.87479,0.0023275,0.0023275,0.0023275
157,27170.7,2.0466,1.54395,2.66393,0.75406,0.70699,0.76058,0.59161,1.81722,3.11416,2.87403,0.002278,0.002278,0.002278
158,27342.7,2.07306,1.56438,2.67286,0.75172,0.70987,0.76068,0.59172,1.81697,3.11532,2.87397,0.0022285,0.0022285,0.0022285
159,27515,2.00625,1.4792,2.6419,0.75292,0.70856,0.76065,0.59202,1.81587,3.11818,2.87219,0.002179,0.002179,0.002179
160,27686.7,2.0356,1.50681,2.6543,0.75072,0.7124,0.76053,0.59213,1.81598,3.11617,2.87136,0.0021295,0.0021295,0.0021295
161,27860.4,2.03512,1.50131,2.65925,0.74898,0.71428,0.76057,0.59261,1.81546,3.11353,2.87128,0.00208,0.00208,0.00208
162,28033.3,2.04144,1.53886,2.72026,0.75019,0.71294,0.76092,0.59305,1.81588,3.11158,2.87028,0.0020305,0.0020305,0.0020305
163,28205.4,2.01722,1.47396,2.66365,0.74844,0.71413,0.76096,0.59337,1.81585,3.11042,2.87072,0.001981,0.001981,0.001981
164,28376.7,2.01716,1.47927,2.64287,0.75144,0.71133,0.76087,0.59357,1.81569,3.11156,2.86969,0.0019315,0.0019315,0.0019315
165,28548.5,2.02925,1.48481,2.68254,0.75317,0.70874,0.76126,0.59404,1.81596,3.1124,2.86998,0.001882,0.001882,0.001882
166,28721.1,2.03873,1.52289,2.68258,0.75039,0.7122,0.76169,0.59451,1.81556,3.11177,2.86924,0.0018325,0.0018325,0.0018325
167,28895.4,2.03437,1.48591,2.63038,0.75064,0.71188,0.76207,0.59479,1.8158,3.11383,2.86881,0.001783,0.001783,0.001783
